group,population,start,end,filled
2013-14,baseline,1,31,1000
2013-14,baseline,16,46,4500
2013-14,baseline,32,62,8500
2013-14,baseline,47,77,0
2013-14,baseline,63,92,0
2013-14,baseline,78,107,0
2013-14,baseline,93,123,0
2013-14,baseline,108,138,0
2013-14,baseline,124,153,0
2013-14,baseline,139,168,0
2013-14,baseline,154,184,0
2013-14,baseline,169,199,0
2013-14,baseline,185,215,0
2013-14,baseline,200,230,0
2013-14,baseline,216,243,0
2013-14,baseline,231,258,0
2013-14,baseline,244,274,0
2013-14,baseline,259,289,0
2013-14,baseline,275,304,14550
2013-14,baseline,290,319,0
2014-15,baseline,1,31,1700
2014-15,baseline,16,46,4450
2014-15,baseline,32,62,5800
2014-15,baseline,47,77,6550
2014-15,baseline,63,92,0
2014-15,baseline,78,107,0
2014-15,baseline,93,123,0
2014-15,baseline,108,138,0
2014-15,baseline,124,153,0
2014-15,baseline,139,168,0
2014-15,baseline,154,184,0
2014-15,baseline,169,199,0
2014-15,baseline,185,215,0
2014-15,baseline,200,230,0
2014-15,baseline,216,243,0
2014-15,baseline,231,258,0
2014-15,baseline,244,274,0
2014-15,baseline,259,289,0
2014-15,baseline,275,304,1050
2014-15,baseline,290,319,0
2015-16,baseline,1,31,1150
2015-16,baseline,16,46,4100
2015-16,baseline,32,62,5150
2015-16,baseline,47,77,5850
2015-16,baseline,63,92,0
2015-16,baseline,78,107,0
2015-16,baseline,93,123,0
2015-16,baseline,108,138,0
2015-16,baseline,124,153,0
2015-16,baseline,139,168,0
2015-16,baseline,154,184,0
2015-16,baseline,169,199,0
2015-16,baseline,185,215,0
2015-16,baseline,200,230,0
2015-16,baseline,216,243,0
2015-16,baseline,231,258,0
2015-16,baseline,244,274,0
2015-16,baseline,259,289,0
2015-16,baseline,275,304,2350
2015-16,baseline,290,319,0
2016-17,baseline,1,31,2950
2016-17,baseline,16,46,4150
2016-17,baseline,32,62,4450
2016-17,baseline,47,77,4450
2016-17,baseline,63,92,0
2016-17,baseline,78,107,0
2016-17,baseline,93,123,0
2016-17,baseline,108,138,0
2016-17,baseline,124,153,0
2016-17,baseline,139,168,0
2016-17,baseline,154,184,0
2016-17,baseline,169,199,0
2016-17,baseline,185,215,0
2016-17,baseline,200,230,0
2016-17,baseline,216,243,0
2016-17,baseline,231,258,0
2016-17,baseline,244,274,0
2016-17,baseline,259,289,0
2016-17,baseline,275,304,3900
2016-17,baseline,290,319,0
2013-14,objectives,1,31,2800
2013-14,objectives,16,46,8150
2013-14,objectives,32,62,11500
2013-14,objectives,47,77,12000
2013-14,objectives,63,92,3350
2013-14,objectives,78,107,0
2013-14,objectives,93,123,0
2013-14,objectives,108,138,0
2013-14,objectives,124,153,0
2013-14,objectives,139,168,0
2013-14,objectives,154,184,0
2013-14,objectives,169,199,0
2013-14,objectives,185,215,0
2013-14,objectives,200,230,13900
2013-14,objectives,216,243,19150
2013-14,objectives,231,258,16000
2013-14,objectives,244,274,36750
2013-14,objectives,259,289,35750
2013-14,objectives,275,304,50150
2013-14,objectives,290,319,0
2014-15,objectives,1,31,3200
2014-15,objectives,16,46,8200
2014-15,objectives,32,62,12050
2014-15,objectives,47,77,14500
2014-15,objectives,63,92,9500
2014-15,objectives,78,107,0
2014-15,objectives,93,123,0
2014-15,objectives,108,138,0
2014-15,objectives,124,153,0
2014-15,objectives,139,168,0
2014-15,objectives,154,184,0
2014-15,objectives,169,199,0
2014-15,objectives,185,215,0
2014-15,objectives,200,230,0
2014-15,objectives,216,243,3100
2014-15,objectives,231,258,13550
2014-15,objectives,244,274,30200
2014-15,objectives,259,289,34300
2014-15,objectives,275,304,24800
2014-15,objectives,290,319,0
2015-16,objectives,1,31,2850
2015-16,objectives,16,46,7750
2015-16,objectives,32,62,11400
2015-16,objectives,47,77,13950
2015-16,objectives,63,92,10200
2015-16,objectives,78,107,0
2015-16,objectives,93,123,0
2015-16,objectives,108,138,0
2015-16,objectives,124,153,0
2015-16,objectives,139,168,0
2015-16,objectives,154,184,0
2015-16,objectives,169,199,0
2015-16,objectives,185,215,6950
2015-16,objectives,200,230,16950
2015-16,objectives,216,243,13250
2015-16,objectives,231,258,13000
2015-16,objectives,244,274,37750
2015-16,objectives,259,289,35500
2015-16,objectives,275,304,33500
2015-16,objectives,290,319,0
2016-17,objectives,1,31,4150
2016-17,objectives,16,46,8150
2016-17,objectives,32,62,10850
2016-17,objectives,47,77,12750
2016-17,objectives,63,92,10200
2016-17,objectives,78,107,0
2016-17,objectives,93,123,0
2016-17,objectives,108,138,0
2016-17,objectives,124,153,0
2016-17,objectives,139,168,0
2016-17,objectives,154,184,0
2016-17,objectives,169,199,0
2016-17,objectives,185,215,0
2016-17,objectives,200,230,0
2016-17,objectives,216,243,0
2016-17,objectives,231,258,3600
2016-17,objectives,244,274,29450
2016-17,objectives,259,289,34700
2016-17,objectives,275,304,32500
2016-17,objectives,290,319,14700
