group,watertype,incentives,time,area
2013-14,accessible,all,229,105529.05267052633
2014-15,accessible,all,219,82631.91487990879
2015-16,accessible,all,236,75621.7619628962
2016-17,accessible,all,224,98318.04154259151
2013-14,accessible,none,230,83261.28900250517
2014-15,accessible,none,215,63903.10285101896
2015-16,accessible,none,238,63644.05679802245
2016-17,accessible,none,224,91718.29775386461
2013-14,open,all,216,204746.01125527947
2014-15,open,all,202,204398.31851134627
2015-16,open,all,216,156507.16865027888
2016-17,open,all,199,224751.0465098224
2013-14,open,none,213,177338.72586487685
2014-15,open,none,202,177094.0082454358
2015-16,open,none,212,139627.94923634248
2016-17,open,none,199,217148.1926622677
