crop_class,year,ha
corn,2007,112769.84378425908
corn,2008,116239.68513146703
corn,2009,95420.6370482192
corn,2010,105830.16108984314
corn,2011,109300.0024370511
corn,2012,111034.92311065507
corn,2013,104095.24041623913
corn,2014,90215.87502740725
corn,2015,76336.50963857537
corn,2016,72866.6682913674
corn,2017,74601.5889649714
other,2007,768859.180144522
other,2008,794937.7129636084
other,2009,719815.1507556499
other,2010,739068.9455298902
other,2011,783901.0108856104
other,2012,748928.602911525
other,2013,695726.4094725506
other,2014,599189.4114741454
other,2015,566391.6576473515
other,2016,681007.5985808341
other,2017,680505.6444005343
rice,2007,216097.47114181923
rice,2008,210027.31745806025
rice,2009,227023.74777258534
rice,2010,225809.71703583357
rice,2011,236735.9936665997
rice,2012,227428.42468483595
rice,2013,229451.80924608893
rice,2014,180081.225951516
rice,2015,173606.39535550645
rice,2016,218930.2095275734
rice,2017,180081.225951516
