scenario,population,incentives,group,season,total,mc_mean,mc_median,lcl,ucl
obj_with,objectives,with,2013-14,fall,3884678914.5193324,3997699954.01604,3908510474.995421,2705007000.6881723,5731691028.764137
obj_with,objectives,with,2013-14,spring,13557222753.079897,12086607330.96129,12095299428.49064,6394080914.848224,17602471433.291206
obj_with,objectives,with,2014-15,fall,4780956398.341384,4794550011.498774,4758777550.530914,3680975166.7312856,6016606726.248037
obj_with,objectives,with,2014-15,spring,8583304168.518909,8178266270.284918,8043447856.863462,3860084011.716805,13312166572.869268
obj_with,objectives,with,2015-16,fall,4682830152.565135,4637081413.730952,4635991092.399406,3422813315.2744746,5735865849.741445
obj_with,objectives,with,2015-16,spring,13293473908.057438,11517939871.33861,11633758262.233292,4345106202.320667,17511780080.59166
obj_with,objectives,with,2016-17,fall,4669802315.796598,4630906753.1596575,4658329960.341614,3126483698.4564924,5912640308.568335
obj_with,objectives,with,2016-17,spring,11068278396.613985,10741462514.827772,10623110901.738514,5743613102.16608,16182435571.17631
obs_with,baseline,with,2013-14,fall,1404898323.4704833,1391750481.7931721,1382641682.4942312,831955957.7180625,1937792593.3523917
obs_with,baseline,with,2013-14,spring,719808268.1225171,713803760.9633082,526715391.85563433,0,2293265958.0911484
obs_with,baseline,with,2014-15,fall,1840028921.0282836,1815455714.8345647,1809561005.0086002,1299463980.0191238,2274425328.5080442
obs_with,baseline,with,2014-15,spring,0,172841807.66560328,0,0,1235131777.5827765
obs_with,baseline,with,2015-16,fall,1630902199.705575,1595878833.5804582,1614659886.6177926,941192768.3897213,2111962255.8683858
obs_with,baseline,with,2015-16,spring,0,195330652.54362917,0,0,1674505896.3603659
obs_with,baseline,with,2016-17,fall,1573872802.6971862,1578167368.1122684,1574975306.2624307,942405867.874277,2205685948.4692106
obs_with,baseline,with,2016-17,spring,118546447.34704098,467575505.30518204,50092293.15406089,0,2278655077.4830117
obj_free,objectives,without,2013-14,fall,3895423592.0257025,4108437127.5606446,3940654164.9791727,2716219527.542458,6344995930.658343
obj_free,objectives,without,2013-14,spring,16530856409.4398,14678990241.910603,14953673638.189655,7757244201.5149,19677018765.356575
obj_free,objectives,without,2014-15,fall,4914665649.158371,4969826476.040278,4893621457.624189,3762662456.6522913,6612015877.074772
obj_free,objectives,without,2014-15,spring,10710778579.665882,10134357346.273859,9923878510.755552,4728898224.031524,16064435089.543425
obj_free,objectives,without,2015-16,fall,4781486677.497594,4857049035.297268,4765843864.029179,3489353688.724738,6916751607.547832
obj_free,objectives,without,2015-16,spring,15252392785.003016,13234861929.47377,13546157224.489853,5588808659.581307,18760851608.82169
obj_free,objectives,without,2016-17,fall,4783435040.91038,4751677715.98722,4778561182.411704,3253968413.3938828,6051062848.357849
obj_free,objectives,without,2016-17,spring,11760532351.775345,11411825125.469957,11324840785.41064,6145148181.285667,17102064828.088942
obs_free,baseline,without,2013-14,fall,1415552743.2659056,1402750883.8519068,1392883758.7285833,843450983.4237425,1947482755.9902406
obs_free,baseline,without,2013-14,spring,1308316164.485181,1234408082.7900858,1029156349.6955965,0,3431802936.6442385
obs_free,baseline,without,2014-15,fall,1913924423.2163098,1880776242.4037206,1879815462.0481548,1335889865.1592245,2372586245.2350726
obs_free,baseline,without,2014-15,spring,67469578.20699537,369613845.14410174,0,0,1961509707.9327826
obs_free,baseline,without,2015-16,fall,1688174757.9881942,1653567699.2988987,1667725490.390979,1001414784.5906633,2212687271.8584023
obs_free,baseline,without,2015-16,spring,169188532.7969911,455869257.43446386,0,0,2789163806.4098616
obs_free,baseline,without,2016-17,fall,1668422290.516697,1670288359.9914212,1672826287.9409356,1013371583.6759834,2327631630.8576984
obs_free,baseline,without,2016-17,spring,270342822.9497179,583029884.9117676,197885440.50615078,0,2595413821.6860523
